Survey,Sample ID,Occurrence ID,Site Type,Site Code,Date,Section No.,Section Code,Species,Preferred,Recorder Name,Start Time,End Time,Temp (Deg C) term ID,Temp (Deg C) term,Wind Direction term ID,Wind Direction term,Wind Speed term ID,Wind Speed term,% Sun,% Cloud,Reliability term ID,Reliability term,Abundance count
EBMS Transects,6019085,10569292,Transect,EBMS:Italy:1,26/04/2018,S1,EBMS:Italy:1.1,Swallowtail,Papilio machaon,"Chieppa, Gianluca",11:00,13:00,16544,24,,,2455,3. Leaves and twigs in slight motion,100,,,,1
EBMS Transects,6019085,10569620,Transect,EBMS:Italy:1,26/04/2018,S1,EBMS:Italy:1.1,Mallow Skipper,Carcharodus alceae,"Chieppa, Gianluca",11:00,13:00,16544,24,,,2455,3. Leaves and twigs in slight motion,100,,,,2
EBMS Transects,6019085,10569341,Transect,EBMS:Italy:1,26/04/2018,S1,EBMS:Italy:1.1,Dingy Skipper,Erynnis tages,"Chieppa, Gianluca",11:00,13:00,16544,24,,,2455,3. Leaves and twigs in slight motion,100,,,,5
EBMS Transects,6019085,10569434,Transect,EBMS:Italy:1,26/04/2018,S1,EBMS:Italy:1.1,Small White,Pieris rapae,"Chieppa, Gianluca",11:00,13:00,16544,24,,,2455,3. Leaves and twigs in slight motion,100,,,,4
EBMS Transects,6019085,10569236,Transect,EBMS:Italy:1,26/04/2018,S1,EBMS:Italy:1.1,Green-veined White,Pieris napi,"Chieppa, Gianluca",11:00,13:00,16544,24,,,2455,3. Leaves and twigs in slight motion,100,,,,5
EBMS Transects,6019085,10569105,Transect,EBMS:Italy:1,26/04/2018,S1,EBMS:Italy:1.1,Orange-tip,Anthocharis cardamines,"Chieppa, Gianluca",11:00,13:00,16544,24,,,2455,3. Leaves and twigs in slight motion,100,,,,2
EBMS Transects,6019085,10569163,Transect,EBMS:Italy:1,26/04/2018,S1,EBMS:Italy:1.1,Small Copper,Lycaena phlaeas,"Chieppa, Gianluca",11:00,13:00,16544,24,,,2455,3. Leaves and twigs in slight motion,100,,,,5
EBMS Transects,6019085,10569549,Transect,EBMS:Italy:1,26/04/2018,S1,EBMS:Italy:1.1,Short-tailed Blue,Cupido argiades,"Chieppa, Gianluca",11:00,13:00,16544,24,,,2455,3. Leaves and twigs in slight motion,100,,,,4
EBMS Transects,6019085,10569667,Transect,EBMS:Italy:1,26/04/2018,S1,EBMS:Italy:1.1,Common Blue,Polyommatus icarus,"Chieppa, Gianluca",11:00,13:00,16544,24,,,2455,3. Leaves and twigs in slight motion,100,,,,1
EBMS Transects,6019085,10569482,Transect,EBMS:Italy:1,26/04/2018,S1,EBMS:Italy:1.1,Comma,Polygonia c-album,"Chieppa, Gianluca",11:00,13:00,16544,24,,,2455,3. Leaves and twigs in slight motion,100,,,,1
