Sample ID,Site Type,Site Code,Site name,Site Grid Ref.,Visit date,Notes,Grid Ref.,Mean % Sun,Recorder Name,Start Time,End Time,% Sun,% Cloud,Temp (Deg C) term ID,Temp (Deg C) term,Wind Direction term ID,Wind Direction term,Wind Speed term ID,Wind Speed term,Reliability term ID,Reliability term
12099103,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,10/04/2018,,45.01009N 7.6256E,,,,,,,,,,,,,,
6019085,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,26/04/2018,,45.01009N 7.6256E,,"Chieppa, Gianluca",11:00,13:00,100,,16544,24,,,2455,3. Leaves and twigs in slight motion,,
6019072,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,25/05/2018,,45.01009N 7.6256E,,"Chieppa, Gianluca",13:00,15:00,70,,16546,26,,,2454,"2. Wind felt on face, leaves rustle",,
6020102,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,15/06/2018,,45.01009N 7.6256E,,"Chieppa, Gianluca",11:00,13:00,100,,16548,28,,,2454,"2. Wind felt on face, leaves rustle",,
6019073,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,25/06/2018,,45.01009N 7.6256E,,"Chieppa, Gianluca",11:00,13:00,80,,16548,28,,,2454,"2. Wind felt on face, leaves rustle",,
6019076,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,17/07/2018,,45.01009N 7.6256E,,"Chieppa, Gianluca",09:00,13:00,100,,16549,29,,,2454,"2. Wind felt on face, leaves rustle",,
6019079,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,31/07/2018,,45.01009N 7.6256E,,"Chieppa, Gianluca",11:00,13:00,100,,16551,31,,,2454,"2. Wind felt on face, leaves rustle",,
6019082,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,20/08/2018,,45.01009N 7.6256E,,"Chieppa, Gianluca",11:30,13:00,100,,16553,33,,,2455,3. Leaves and twigs in slight motion,,
6022392,Transect,EBMS:Italy:10,"Rocca Bianca, AB1",44.66849N 7.16222E,01/07/2018,,44.66849N 7.16222E,,Monviso Natural Park,10:27,11:27,80,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022393,Transect,EBMS:Italy:10,"Rocca Bianca, AB1",44.66849N 7.16222E,18/07/2018,,44.66849N 7.16222E,,Monviso Natural Park,11:15,12:15,90,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
